label,count,recipe_prevalence,literal_text_support_count,literal_text_support_rate,token_phrase_support_count,token_phrase_support_rate,train,val,test
salt,40440,0.6207595247597704,40440,1.0,40226,0.9947082096933729,33985,3231,3224
oil,35707,0.5481073281552206,35302,0.9886576861679782,35115,0.9834206178060324,30007,2827,2873
pepper,31692,0.4864765296411138,31692,1.0,29002,0.9151205351508267,26638,2543,2511
garlic,29125,0.4470727289472876,29125,1.0,29121,0.9998626609442061,24494,2301,2330
onion,27851,0.4275166548982286,27851,1.0,15383,0.5523320527090589,23404,2240,2207
cheese,19468,0.29883645964449085,16273,0.835884528456955,16254,0.8349085679063077,16302,1589,1577
sugar,17202,0.26405305007214563,17202,1.0,17194,0.9995349377979305,14497,1325,1380
tomato,15842,0.24317686427409205,15842,1.0,5002,0.31574296174725414,13333,1282,1227
chicken,15022,0.23058975224879502,15022,1.0,14960,0.9958727200106511,12642,1158,1222
egg,14970,0.22979154514475178,14969,0.9999331997327989,4361,0.29131596526386105,12604,1142,1224
butter,13872,0.21293709514014675,13872,1.0,12960,0.9342560553633218,11686,1078,1108
water,12492,0.19175390660976882,12492,1.0,12137,0.9715818123599104,10502,1026,964
liquor,12311,0.18897553188223376,13,0.0010559662090813093,12,0.0009747380391519779,10318,983,1010
flour,11591,0.17792343351855833,11434,0.9864550081960142,11416,0.9849020791993788,9743,929,919
lemon,9680,0.14858932244496975,9680,1.0,8885,0.9178719008264463,8143,765,772
milk,9224,0.1415896601479753,9224,1.0,9162,0.9932784041630529,7737,738,749
chili,9126,0.14008534675958617,9126,1.0,6546,0.7172912557527942,7678,743,705
soy,8065,0.1237988518097811,8063,0.9997520148791073,8032,0.9959082455052697,6795,635,635
corn,8050,0.12356859976053787,8050,1.0,6902,0.8573913043478261,6762,648,640
rice,7913,0.1214656310441163,7913,1.0,7901,0.9984835081511437,6721,575,617
cumin,7840,0.12034507107113253,7840,1.0,7839,0.9998724489795918,6590,629,621
cream,7574,0.11626193473121911,7574,1.0,7462,0.9852125693160814,6324,625,625
cilantro,7512,0.11531022626101373,7512,1.0,7512,1.0,6299,591,622
bread,7291,0.11191784606883001,7291,1.0,4297,0.5893567411877657,6113,576,602
wine,6810,0.10453443035643017,6810,1.0,6803,0.9989720998531572,5696,539,575
parsley,6431,0.09871672857888435,6431,1.0,6431,1.0,5384,531,516
beans,5788,0.08884659073465753,5788,1.0,5161,0.8916724257083621,4873,473,442
basil,5537,0.08499370644398735,5537,1.0,5372,0.9702004695683584,4621,465,451
juice,5137,0.07885365179750099,5137,1.0,4995,0.9723574070469145,4309,429,399
carrot,5121,0.07860804961164154,5121,1.0,875,0.17086506541691077,4312,407,402
oregano,4820,0.07398765849016056,4820,1.0,4820,1.0,4017,409,394
potato,4658,0.07150093635833359,4658,1.0,799,0.17153284671532848,3903,367,388
vanilla,4555,0.06991987228686335,4555,1.0,4555,1.0,3836,331,388
yogurt,4467,0.06856906026463636,4467,1.0,4467,1.0,3715,375,377
beef,4357,0.0668805452368526,4357,1.0,4281,0.9825568051411522,3657,326,374
cinnamon,4320,0.06631259018205261,4320,1.0,4320,1.0,3631,329,360
mustard,4134,0.06345746477143646,4134,1.0,4132,0.9995162070633768,3456,352,326
coriander,3900,0.05986553280324195,3900,1.0,3900,1.0,3238,321,341
paprika,3751,0.057578362447425785,3751,1.0,3656,0.974673420421221,3171,310,270
vinegar,3516,0.05397108034261505,3516,1.0,3516,1.0,2945,294,277
pasta,3504,0.05378687870322046,1935,0.5522260273972602,1933,0.5516552511415526,2922,290,292
honey,3418,0.05246676695422589,3418,1.0,3408,0.9970743124634289,2885,267,266
turmeric,3398,0.05215976422190158,3398,1.0,3398,1.0,2841,260,297
thyme,3346,0.05136155711785835,3346,1.0,3346,1.0,2822,300,224
avocado,3249,0.04987259386608541,3249,1.0,2844,0.8753462603878116,2744,274,231
pork,3203,0.04916648758173948,3203,1.0,3203,1.0,2700,245,258
curry,3151,0.04836828047769625,3151,1.0,3116,0.9888924151063154,2629,252,270
shallots,3027,0.04646486353728548,2578,0.8516683184671292,2578,0.8516683184671292,2565,243,219
scallions,2961,0.045451754520615235,2895,0.977710233029382,2895,0.977710233029382,2498,230,233
lime,2938,0.04509870137844227,2938,1.0,2938,1.0,2450,239,249
cucumber,2921,0.044837749055966596,2921,1.0,2800,0.9585758301951387,2455,231,235
mushrooms,2811,0.043149234028182853,2811,1.0,2811,1.0,2340,254,217
apple,2624,0.04027875848095048,2624,1.0,1189,0.453125,2199,192,233
sage,2584,0.039664753016301846,2584,1.0,720,0.2786377708978328,2195,216,173
mayonnaise,2476,0.03800693826175053,2476,1.0,2475,0.9995961227786753,2083,209,184
shrimp,2443,0.037500383753415405,2443,1.0,2426,0.9930413426115432,2044,196,203
spinach,2393,0.03673287692260461,2393,1.0,2393,1.0,2006,195,192
lettuce,2297,0.035259263807447885,2297,1.0,2278,0.9917283413147584,1933,179,185
garam masala,2207,0.033877751511988456,2207,1.0,2207,1.0,1833,186,188
cilantro leaves,2197,0.0337242501458263,2197,1.0,2197,1.0,1860,168,169
fish sauce,2194,0.03367819973597765,2194,1.0,2194,1.0,1848,167,179
orange,2185,0.033540048506431705,2185,1.0,1983,0.9075514874141877,1834,180,171
mint,2103,0.03228133730390201,2103,1.0,2102,0.9995244888254874,1747,185,171
peas,1984,0.030454671046572315,1984,1.0,1984,1.0,1681,158,145
cabbage,1791,0.02749209467964265,1791,1.0,1789,0.9988833054159687,1519,149,123
zucchini,1758,0.026985540171307526,1758,1.0,1732,0.9852104664391353,1485,134,139
chocolate,1744,0.026770638258680503,1744,1.0,1744,1.0,1456,153,135
almond,1726,0.026494335799588615,1726,1.0,485,0.2809965237543453,1445,144,137
peanut,1657,0.02543517637306972,1657,1.0,658,0.39710319855159926,1389,130,138
baking powder,1651,0.025343075553372424,1651,1.0,1651,1.0,1384,120,147
clove,1631,0.025036072821048107,1631,1.0,880,0.539546290619252,1368,125,138
tea,1567,0.024053664077610292,1566,0.9993618379068283,222,0.14167198468410977,1326,124,117
bacon,1525,0.023408958339729224,1525,1.0,1525,1.0,1291,127,107
nutmeg,1509,0.02316335615386977,1509,1.0,1501,0.9946984758117959,1266,122,121
salsa,1469,0.022549350689221134,1469,1.0,1469,1.0,1223,122,124
cardamom,1439,0.022088846590734658,1439,1.0,1393,0.9680333564975677,1219,97,123
sesame seeds,1388,0.021305989623307646,1388,1.0,1388,1.0,1177,113,98
noodles,1379,0.021167838393761705,1379,1.0,1379,1.0,1158,107,114
rosemary,1374,0.021091087710680623,1374,1.0,1374,1.0,1132,128,114
syrup,1291,0.019817026371534707,1291,1.0,1291,1.0,1083,114,94
sauce,1273,0.019540723912442822,1273,1.0,1273,1.0,1092,90,91
bay leaf,1256,0.01927977158996715,1256,1.0,1256,1.0,1067,92,97
dill,1234,0.0189420685844104,1234,1.0,1186,0.9611021069692058,1041,92,101
celery,1223,0.018773217081632026,1223,1.0,1223,1.0,1039,95,89
bay leaves,1205,0.01849691462254014,1205,1.0,1205,1.0,1007,100,98
soda,1161,0.017821508611426642,1161,1.0,1161,1.0,971,88,102
broccoli,1159,0.01779080833819421,1159,1.0,1101,0.9499568593615185,960,101,98
italian seasoning,1144,0.017560556288950972,1144,1.0,1144,1.0,951,100,93
worcestershire sauce,1104,0.016946550824302336,1104,1.0,1104,1.0,935,92,77
coconut,1086,0.01667024836521045,1086,1.0,1085,0.9990791896869244,878,92,116
yeast,1085,0.016654898228594235,1085,1.0,1085,1.0,906,98,81
chives,1058,0.016240444539956406,1058,1.0,1058,1.0,889,87,82
ketchup,866,0.013293218309642956,866,1.0,866,1.0,728,67,71
cashew,851,0.013062966260399718,851,1.0,538,0.6321974148061105,718,65,68
mango,844,0.012955515304086207,844,1.0,797,0.9443127962085308,713,51,80
cauliflower,822,0.012617812298529457,822,1.0,822,1.0,696,54,72
banana,817,0.012541061615448377,817,1.0,194,0.23745410036719705,675,70,72
