left,right,support_left,support_right,cooccurrence,p_right_given_left,p_left_given_right,jaccard,lift
pepper,salt,22147,34455,17251,0.77893168,0.50068205,0.43838784,1.36886703
garlic,salt,24801,34455,15377,0.62001532,0.44629227,0.35044099,1.08959303
olive oil,salt,18893,34455,12509,0.66209707,0.36305326,0.30630035,1.16354601
garlic,pepper,24801,22147,11181,0.4508286,0.50485393,0.31260659,1.23256746
garlic,olive oil,24801,18893,10836,0.43691787,0.57354576,0.3297827,1.40027401
olive oil,pepper,18893,22147,10339,0.54723972,0.46683524,0.33676427,1.49615591
cheese,salt,15753,34455,8384,0.53221609,0.24333188,0.20045907,0.93529775
onion,salt,12300,34455,7623,0.6197561,0.2212451,0.19480221,1.08913748
garlic,onion,24801,12300,7442,0.30006855,0.60504065,0.25091878,1.4771667
cheese,pepper,15753,22147,6915,0.43896401,0.3122319,0.2231725,1.20012962
cheese,olive oil,15753,18893,6727,0.42702977,0.3560578,0.24094703,1.36858375
egg,salt,11145,34455,6690,0.60026918,0.1941663,0.17193524,1.05489185
cheese,garlic,15753,24801,6258,0.39725767,0.25232854,0.18247026,0.9698783
cilantro,salt,9781,34455,6141,0.62784991,0.17823248,0.16120226,1.10336126
butter,salt,9765,34455,6064,0.62099334,0.17599768,0.15892651,1.09131177
flour,salt,8057,34455,5898,0.73203426,0.1711798,0.16108592,1.28645114
salt,sugar,34455,9681,5575,0.16180525,0.57587026,0.14457613,1.01201406
cilantro,garlic,9781,24801,5455,0.55771394,0.21995081,0.18728328,1.36162166
salt,water,34455,8805,5334,0.15481062,0.60579216,0.1406423,1.06459775
onion,pepper,12300,22147,5097,0.41439024,0.23014404,0.17366269,1.13294484
garlic,ginger,24801,7018,4929,0.19874199,0.70233685,0.18330234,1.71470893
salt,tomato,34455,7169,4583,0.13301408,0.63928023,0.12372776,1.1234485
olive oil,onion,18893,12300,4368,0.23119674,0.35512195,0.16283318,1.13812704
garlic,tomato,24801,7169,4216,0.16999315,0.5880876,0.15190603,1.43577695
garlic,green onion,24801,8103,4185,0.1687432,0.51647538,0.14572234,1.26094046
chicken,salt,7796,34455,4161,0.53373525,0.12076622,0.10924127,0.93796747
chicken,garlic,7796,24801,4126,0.52924577,0.16636426,0.14491939,1.29211851
garlic,water,24801,8805,3982,0.16055804,0.45224304,0.13441804,1.10412146
green onion,salt,8103,34455,3808,0.4699494,0.11052097,0.09827097,0.82587248
egg,flour,11145,8057,3804,0.34131898,0.47213603,0.24704507,2.5650818
ginger,salt,7018,34455,3800,0.5414648,0.11028878,0.100868,0.95155112
butter,flour,9765,8057,3620,0.37071173,0.44929875,0.25489368,2.78597431
egg,pepper,11145,22147,3567,0.32005384,0.16106019,0.12,0.87502866
butter,egg,9765,11145,3555,0.3640553,0.31897712,0.2048401,1.9778868
chili powder,salt,4698,34455,3457,0.73584504,0.10033377,0.09684558,1.29314808
