target,support_total,prevalence,support_train,support_val,support_test,source_recipe_support_before_retention,retained_support_fraction,attributed_records,unattributed_records,distinct_raw_variants,top_raw_examples
salt,34455,0.56903386,27571,3442,3442,34985,0.98485065,34455,0,1673,salt | kosher salt | sea salt | 1/2 teaspoon salt | 1/4 teaspoon salt
garlic,24801,0.40959538,19838,2482,2481,24903,0.99590411,24801,0,2171,"garlic | garlic cloves | minced garlic | 2 garlic cloves, minced | large garlic cloves"
pepper,22147,0.36576383,17720,2214,2213,22394,0.98897026,22147,0,1189,pepper | ground black pepper | black pepper | freshly ground black pepper | freshly ground pepper
olive oil,18893,0.31202312,15117,1885,1891,19207,0.98365179,18893,0,1922,olive oil | extra-virgin olive oil | 1 tablespoon olive oil | 2 tablespoons olive oil | 3 tablespoons olive oil
cheese,15753,0.26016515,12600,1577,1576,16429,0.95885325,15753,0,6294,grated parmesan cheese | feta cheese | parmesan cheese | cream cheese | feta cheese crumbles
onion,12300,0.2031379,9840,1230,1230,12376,0.99385908,12300,0,1536,"onions | chopped onion | 1 onion, chopped | 1 medium onion, chopped | diced onions"
egg,11145,0.18406276,8916,1115,1114,11320,0.98454064,11145,0,482,eggs | large eggs | 1 large egg | 2 large eggs | 1 egg
cilantro,9781,0.16153592,7824,978,979,9823,0.99572432,9781,0,1063,cilantro | cilantro leaves | chopped cilantro | fresh cilantro | chopped fresh cilantro
butter,9765,0.16127168,7811,976,978,10059,0.97077244,9765,0,1285,butter | unsalted butter | melted butter | 2 tablespoons butter | 1 tablespoon butter
sugar,9681,0.15988439,7745,967,969,10170,0.9519174,9681,0,650,sugar | powdered sugar | confectioners sugar | 1/2 cup sugar | 1 teaspoon sugar
water,8805,0.14541701,7043,881,881,9023,0.97583952,8805,0,445,water | 1 cup water | 1/2 cup water | 2 cups water | 1/4 cup water
green onion,8103,0.13382329,6480,812,811,8180,0.9905868,8103,0,994,green onions | scallions | sliced green onions | 1/2 cup chopped green onions | 1/4 cup chopped green onions
flour,8057,0.13306358,6445,806,806,8125,0.99163077,8057,0,1002,all-purpose flour | flour | 1 cup all-purpose flour | 1/4 cup all-purpose flour | 2 tablespoons all-purpose flour
chicken,7796,0.1287531,6237,780,779,7876,0.98984256,7796,0,996,boneless skinless chicken breasts | chicken breasts | chicken | boneless skinless chicken thighs | chicken thighs
tomato,7169,0.11839802,5733,719,717,7224,0.99238649,7169,0,1150,tomatoes | diced tomatoes | crushed tomatoes | chopped tomatoes | medium tomatoes
ginger,7018,0.11590421,5616,701,701,7042,0.99659188,7018,0,396,ginger | fresh ginger | minced ginger | peeled fresh ginger | 1 tablespoon minced peeled fresh ginger
soy sauce,5367,0.08863749,4294,536,537,5403,0.99333703,5367,0,70,soy sauce | 2 tablespoons soy sauce | 1 tablespoon soy sauce | 1/4 cup soy sauce | 3 tablespoons soy sauce
vegetable oil,5198,0.08584641,4159,520,519,5252,0.9897182,5198,0,251,vegetable oil | 1 tablespoon vegetable oil | 2 tablespoons vegetable oil | 3 tablespoons vegetable oil | 1/4 cup vegetable oil
lemon juice,4935,0.08150289,3946,494,495,5060,0.97529644,4935,0,295,lemon juice | fresh lemon juice | 1 tablespoon fresh lemon juice | 2 tablespoons fresh lemon juice | 1 tablespoon lemon juice
chili powder,4698,0.07758877,3758,470,470,4752,0.98863636,4698,0,587,chili powder | red chili powder | 1 teaspoon chili powder | 1 tablespoon chili powder | chile powder
carrot,4669,0.07710983,3735,466,468,4691,0.99531017,4669,0,904,carrots | shredded carrots | medium carrot | large carrots | sliced carrots
ground cumin,4111,0.0678943,3287,413,411,4117,0.99854263,4111,0,146,ground cumin | 1 teaspoon ground cumin | 1/2 teaspoon ground cumin | 2 teaspoons ground cumin | 1/4 teaspoon ground cumin
oregano,4074,0.06728324,3260,407,407,4102,0.99317406,4074,0,371,dried oregano | oregano | fresh oregano | 1 teaspoon dried oregano | 1/2 teaspoon dried oregano
lime juice,3816,0.0630223,3052,382,382,3894,0.97996918,3816,0,253,lime juice | fresh lime juice | 1 tablespoon fresh lime juice | 2 tablespoons fresh lime juice | 1/4 cup fresh lime juice
parsley,3492,0.05767135,2794,348,350,3514,0.99373933,3492,0,431,fresh parsley | parsley | chopped parsley | dried parsley | 2 tablespoons chopped fresh parsley
milk,3433,0.05669694,2745,344,344,3538,0.97032222,3433,0,252,milk | 1 cup milk | 1/2 cup milk | 2 cups milk | 1/4 cup milk
oil,3310,0.05466557,2648,331,331,3337,0.9919089,3310,0,139,oil | 1 tablespoon oil | 2 tbsp oil | 1 tbsp oil | 2 tablespoons oil
lime,3146,0.05195706,2517,315,314,3187,0.98713524,3146,0,207,"lime | 1 lime, juiced | fresh lime | 1 lime | 2 limes, cut into wedges"
sesame oil,2978,0.04918249,2380,299,299,2982,0.99865862,2978,0,47,sesame oil | 1 teaspoon sesame oil | 1 tablespoon sesame oil | 2 teaspoons sesame oil | 1 tsp sesame oil
honey,2977,0.04916598,2382,298,297,3100,0.96032258,2977,0,109,honey | 1 tablespoon honey | 2 tablespoons honey | 1/4 cup honey | 1 teaspoon honey
red bell pepper,2893,0.0477787,2313,290,290,2903,0.99655529,2893,0,313,"red bell pepper | 1 red bell pepper, diced | 1 red bell pepper, chopped | 1 cup chopped red bell pepper | 1/2 cup chopped red bell pepper"
