cuisine,record_count,unique_value_count,top_values
american,9011,42018,"cooking spray:1051 | 1/4 teaspoon salt:994 | 1/2 teaspoon salt:931 | 1 teaspoon salt:485 | 1 tablespoon olive oil:397 | 1/4 teaspoon freshly ground black pepper:374 | 2 tablespoons olive oil:371 | 1 teaspoon vanilla extract:308 | 1/8 teaspoon salt:307 | coarse salt and ground pepper:300 | 1/4 teaspoon black pepper:296 | salt and pepper:277 | 1 large egg:256 | 2 large eggs:255 | 2 garlic cloves, minced:243 | coarse salt and freshly ground pepper:240 | 1 tablespoon fresh lemon juice:236 | 2 tablespoons fresh lemon juice:219 | salt and pepper to taste:203 | 1/4 teaspoon pepper:202 | 1/2 teaspoon freshly ground black pepper:198 | 1/2 cup sugar:192 | 1 garlic clove, minced:190 | 3/4 teaspoon salt:178 | 1 cup all-purpose flour:178 | 1 cup sugar:156 | 1/2 teaspoon kosher salt:153 | 3 tablespoons olive oil:152 | 1 teaspoon dijon mustard:150 | 1/2 teaspoon black pepper:150 | 1 tablespoon dijon mustard:150 | 2 tablespoons extra-virgin olive oil:146 | 2 teaspoons olive oil:139 | 2 cups all-purpose flour:137 | 1 bay leaf:136 | 1/4 cup all-purpose flour:132 | 1 teaspoon sugar:131 | 1 cup water:131 | 2 tablespoons all-purpose flour:130 | 2 tablespoons butter:129 | salt:129 | 1/4 teaspoon kosher salt:129 | 1/2 teaspoon ground cinnamon:128 | 1/4 cup olive oil:128 | 1/2 teaspoon pepper:127 | 3 large eggs:126 | 4 large eggs:123 | 1 teaspoon ground cinnamon:123 | 1/4 cup extra-virgin olive oil:120 | 3 garlic cloves, minced:119 | 1 tablespoon sugar:119 | 1 tablespoon butter:119 | 1/2 cup all-purpose flour:117 | 1 teaspoon olive oil:115 | 1/2 cup water:115 | 2 teaspoons dijon mustard:113 | 1/2 teaspoon baking soda:111 | 2 tablespoons sugar:109 | 3/4 cup sugar:107 | 1 teaspoon ground cumin:107 | 1 tablespoon honey:106 | 2 bay leaves:104 | 1 tablespoon vegetable oil:104 | 1 tablespoon lemon juice:103 | 1 teaspoon kosher salt:102 | 1/8 teaspoon ground red pepper:101 | 1/4 cup sugar:101 | 1 cup chopped onion:100 | 1/2 teaspoon vanilla extract:100 | 3 tablespoons all-purpose flour:100 | 1/4 cup water:99 | 1 tablespoon extra-virgin olive oil:97 | 1/8 teaspoon black pepper:97 | 1/4 teaspoon ground red pepper:97 | 1/4 teaspoon ground nutmeg:96 | 1/2 cup mayonnaise:96 | 1 teaspoon baking soda:95 | 2 tablespoons dijon mustard:95 | 3 tablespoons extra-virgin olive oil:94 | 1 large egg, lightly beaten:94 | vegetable cooking spray:94 | 2 teaspoons salt:92 | 2 teaspoons vanilla extract:92 | 1 cup mayonnaise:90 | 1 teaspoon baking powder:90 | 2 tablespoons vegetable oil:89 | freshly ground black pepper:88 | 2 cups water:88 | 1 1/2 teaspoons salt:87 | 1/8 teaspoon freshly ground black pepper:87 | 2 cloves garlic, minced:87 | 1 tablespoon worcestershire sauce:85 | pinch of salt:85 | coarse salt:84 | 1 tablespoon all-purpose flour:84 | 2 tablespoons chopped fresh parsley:82 | 3 tablespoons fresh lemon juice:82 | 1 tablespoon fresh lime juice:82 | 1/2 teaspoon salt, divided:82 | 2 tablespoons unsalted butter:81"
italian,6397,24902,"salt:1695 | olive oil:1204 | garlic:850 | pepper:723 | italian seasoning:607 | onions:604 | grated parmesan cheese:581 | eggs:526 | extra-virgin olive oil:470 | butter:431 | garlic cloves:415 | kosher salt:372 | water:371 | parmesan cheese:343 | sugar:334 | flat leaf parsley:331 | ground black pepper:315 | black pepper:307 | garlic powder:292 | dried oregano:282 | mozzarella cheese:264 | all-purpose flour:264 | fresh basil:263 | milk:234 | diced tomatoes:232 | 1 tablespoon olive oil:229 | 2 tablespoons olive oil:222 | shredded mozzarella cheese:220 | dried basil:210 | tomatoes:205 | red pepper flakes:197 | tomato sauce:197 | freshly ground black pepper:190 | large eggs:183 | sea salt:183 | basil:183 | carrots:180 | flour:179 | oregano:178 | purple onion:177 | fresh parsley:175 | marinara sauce:174 | italian sausage:174 | ground beef:171 | zucchini:168 | unsalted butter:166 | 1/2 teaspoon salt:160 | minced garlic:156 | lemon:155 | fresh basil leaves:155 | chicken broth:154 | tomato paste:153 | red bell pepper:152 | boneless skinless chicken breasts:146 | balsamic vinegar:132 | pasta:131 | 1 teaspoon salt:130 | yellow onion:125 | salt and pepper:125 | lemon juice:120 | salt and pepper to taste:119 | 2 garlic cloves, minced:117 | red wine vinegar:117 | pasta sauce:115 | cooking spray:114 | ricotta cheese:114 | 1 teaspoon dried oregano:110 | baking powder:109 | vegetable oil:108 | 1 egg:108 | cherry tomatoes:107 | active dry yeast:106 | warm water:105 | freshly ground pepper:102 | celery:101 | crushed red pepper flakes:101 | onion powder:98 | 2 cloves garlic, minced:97 | crushed tomatoes:97 | chicken breasts:97 | 1/4 teaspoon salt:95 | cheese:95 | shredded parmesan cheese:94 | granulated sugar:93 | heavy cream:93 | vanilla extract:91 | italian salad dressing:91 | cream cheese:90 | 1/2 cup dry white wine:89 | parsley:88 | green bell pepper:87 | mayonnaise:86 | italian style breadcrumbs:85 | 3 cloves garlic, minced:84 | lean ground beef:82 | dried parsley:81 | provolone cheese:81 | chicken stock:80 | chopped parsley:79 | spaghetti:78"
mexican,6015,21795,salt:1717 | avocado:1087 | garlic:925 | lime:889 | jalapeno chilies:864 | sour cream:856 | chili powder:845 | olive oil:821 | cilantro:780 | black beans:764 | onions:761 | salsa:753 | ground cumin:726 | pepper:616 | cumin:582 | tomatoes:501 | kosher salt:493 | purple onion:480 | water:472 | fresh cilantro:432 | chopped cilantro:419 | lime juice:413 | corn tortillas:410 | green onions:404 | flour tortillas:393 | chopped fresh cilantro:363 | diced tomatoes:353 | garlic cloves:346 | shredded cheddar cheese:302 | garlic powder:297 | cilantro leaves:286 | taco seasoning:285 | corn:271 | red bell pepper:266 | vegetable oil:265 | black pepper:246 | white onion:239 | lime wedges:232 | butter:231 | ground beef:227 | fresh lime juice:225 | guacamole:222 | ground black pepper:221 | tortilla chips:220 | yellow onion:218 | cayenne pepper:208 | eggs:201 | mexican cheese blend:200 | dried oregano:195 | chicken broth:192 | sea salt:186 | shredded cheese:177 | boneless skinless chicken breasts:174 | extra-virgin olive oil:166 | enchilada sauce:161 | mayonnaise:156 | cheddar cheese:156 | frozen corn:153 | hot sauce:152 | tortillas:148 | refried beans:148 | canola oil:143 | paprika:143 | scallions:142 | roma tomatoes:140 | oil:139 | chicken breasts:139 | sugar:137 | chicken:135 | cheese:135 | tomato sauce:134 | cotija:129 | oregano:127 | 1 teaspoon ground cumin:127 | milk:125 | corn kernels:124 | shredded lettuce:124 | queso fresco:123 | onion powder:120 | bell pepper:118 | minced garlic:117 | green bell pepper:116 | 1/2 teaspoon salt:113 | smoked paprika:113 | quinoa:113 | 1 tablespoon olive oil:113 | shredded monterey jack cheese:112 | cream cheese:110 | cooking spray:109 | cherry tomatoes:108 | freshly ground black pepper:108 | 1 teaspoon salt:107 | chicken stock:106 | tomatillos:106 | romaine lettuce:102 | chopped onion:101 | all-purpose flour:100 | diced green chilies:99 | lean ground beef:99 | monterey jack:97
french,4282,10266,salt:1427 | eggs:1062 | butter:1035 | sugar:819 | milk:776 | unsalted butter:595 | vanilla extract:564 | shallots:488 | heavy cream:482 | large eggs:472 | cinnamon:461 | vanilla:447 | all-purpose flour:430 | olive oil:420 | powdered sugar:403 | french bread:379 | water:373 | granulated sugar:350 | kosher salt:314 | pepper:303 | flour:295 | brown sugar:289 | garlic:279 | maple syrup:252 | ground cinnamon:237 | bread:231 | onions:226 | whole milk:207 | egg whites:180 | egg yolks:172 | extra-virgin olive oil:159 | sea salt:153 | garlic cloves:150 | confectioners sugar:149 | honey:148 | baguette:145 | lemon:138 | ground black pepper:130 | gruyere cheese:129 | nutmeg:127 | black pepper:123 | cream cheese:121 | vegetable oil:117 | dijon mustard:115 | strawberries:114 | lemon juice:113 | white sugar:112 | large egg yolks:110 | freshly ground black pepper:105 | baking powder:105 | fresh thyme:99 | vanilla beans:98 | yellow onion:93 | beef broth:92 | corn starch:91 | oil:89 | bananas:86 | bay leaf:85 | freshly ground pepper:85 | garlic powder:85 | almond flour:84 | 1 bay leaf:84 | pure vanilla extract:83 | half & half:82 | worcestershire sauce:79 | heavy whipping cream:78 | cream:78 | melted butter:76 | cooking spray:75 | dry white wine:75 | light brown sugar:74 | ground nutmeg:74 | mayonnaise:73 | large egg whites:72 | whipping cream:71 | dried thyme:68 | carrots:67 | apples:64 | cream of tartar:64 | warm water:61 | fresh lemon juice:61 | white wine:60 | canola oil:60 | fresh parsley:58 | grated parmesan cheese:57 | challa:57 | bacon:56 | whipped cream:56 | potatoes:55 | red wine:54 | active dry yeast:53 | thyme:53 | almond extract:52 | parsley:51 | bay leaves:51 | balsamic vinegar:49 | cheese:49 | 1/4 teaspoon salt:49 | purple onion:48 | white bread:47
indian,4072,10654,salt:2395 | onions:1603 | garam masala:1478 | ground turmeric:1196 | ground cumin:961 | garlic:953 | cumin seed:947 | oil:899 | ginger:887 | water:812 | chili powder:792 | green chilies:710 | tomatoes:699 | turmeric:655 | cilantro leaves:588 | ground coriander:553 | garlic cloves:546 | vegetable oil:469 | clove:452 | coriander powder:449 | fresh ginger:428 | olive oil:380 | sugar:377 | curry powder:375 | curry leaves:358 | lemon juice:358 | garlic paste:353 | ghee:349 | mustard seeds:345 | cayenne pepper:339 | red chili powder:337 | yoghurt:327 | kosher salt:295 | red chili peppers:289 | coconut milk:288 | pepper:286 | cinnamon:286 | coriander:285 | cumin:278 | butter:276 | cilantro:271 | cinnamon sticks:267 | potatoes:251 | coriander seeds:250 | plain yogurt:247 | paprika:241 | tomato paste:228 | lemon:227 | basmati rice:219 | purple onion:218 | black pepper:217 | chickpeas:213 | carrots:208 | chopped cilantro:200 | chicken:199 | bay leaf:199 | ground cardamom:190 | ground black pepper:189 | fennel seeds:180 | yellow onion:177 | cashew nuts:168 | chopped fresh cilantro:164 | canola oil:164 | ground ginger:159 | coconut oil:157 | ground cinnamon:156 | milk:153 | cauliflower:153 | diced tomatoes:152 | frozen peas:146 | cardamom:146 | fresh coriander:145 | bay leaves:143 | cayenne:142 | fresh cilantro:136 | cardamom pods:134 | sea salt:133 | black peppercorns:133 | paneer:131 | ginger paste:131 | greek yogurt:131 | jalapeno chilies:126 | asafoetida:122 | amchur:120 | mint leaves:118 | black mustard seeds:113 | minced garlic:112 | rice:111 | heavy cream:110 | tomato purée:109 | red lentils:109 | boneless skinless chicken breasts:107 | green cardamom:107 | lime:106 | eggs:105 | salt to taste:102 | boneless skinless chicken thighs:102 | cream:98 | lime juice:97 | fresh lemon juice:96
chinese,4031,5125,soy sauce:1935 | sesame oil:1413 | salt:1388 | corn starch:1380 | garlic:1260 | sugar:1137 | water:950 | green onions:922 | scallions:844 | vegetable oil:833 | ginger:822 | rice vinegar:663 | fresh ginger:631 | garlic cloves:534 | oil:532 | eggs:499 | oyster sauce:495 | chinese five-spice powder:474 | light soy sauce:458 | shaoxing wine:453 | hoisin sauce:418 | onions:411 | carrots:400 | honey:388 | dark soy sauce:377 | white pepper:358 | peanut oil:350 | brown sugar:340 | pepper:317 | boneless skinless chicken breasts:299 | chicken stock:276 | minced garlic:272 | canola oil:263 | sesame seeds:262 | toasted sesame oil:255 | kosher salt:251 | chicken broth:233 | ground pork:226 | spring onions:225 | olive oil:220 | low sodium soy sauce:220 | red chili peppers:215 | black pepper:214 | red bell pepper:213 | chicken breasts:203 | ground black pepper:202 | rice wine:196 | all-purpose flour:196 | chinese rice wine:189 | cooking oil:187 | ground white pepper:183 | sriracha:177 | large eggs:171 | chili oil:167 | minced ginger:167 | szechwan peppercorns:161 | ground ginger:158 | water chestnuts:154 | star anise:149 | ketchup:142 | chicken:142 | red pepper flakes:141 | shiitake:141 | beansprouts:136 | napa cabbage:134 | shrimp:134 | snow peas:133 | peanuts:129 | white sugar:128 | flour:125 | garlic powder:122 | mushrooms:121 | cold water:120 | sauce:120 | toasted sesame seeds:120 | dry sherry:117 | broccoli:114 | fish sauce:113 | reduced sodium soy sauce:112 | cabbage:109 | shallots:109 | wonton wrappers:108 | egg whites:108 | broccoli florets:107 | white vinegar:105 | boneless skinless chicken thighs:103 | rice:101 | baking powder:99 | peeled fresh ginger:99 | chili sauce:95 | noodles:94 | red pepper:90 | crushed red pepper flakes:90 | bamboo shoots:89 | sea salt:88 | fresh ginger root:88 | celery:88 | pork:87 | cooked rice:87 | cilantro:87
thai,3981,3900,fish sauce:1479 | garlic:1406 | salt:1029 | soy sauce:947 | coconut milk:868 | lime:809 | green onions:712 | lime juice:708 | water:692 | garlic cloves:612 | sugar:595 | carrots:588 | brown sugar:559 | vegetable oil:531 | ginger:531 | red bell pepper:521 | peanuts:515 | fresh ginger:503 | cilantro:501 | rice vinegar:483 | onions:467 | sesame oil:463 | olive oil:445 | scallions:434 | lemongrass:432 | shallots:415 | fresh lime juice:413 | cilantro leaves:405 | sriracha:386 | red chili peppers:372 | pepper:358 | beansprouts:338 | eggs:332 | fresh cilantro:325 | oil:316 | sweet chili sauce:312 | honey:310 | thai basil:300 | rice noodles:290 | red curry paste:289 | lime wedges:284 | peanut butter:272 | chopped cilantro:272 | cucumber:263 | purple onion:260 | thai chile:256 | coconut oil:256 | boneless skinless chicken breasts:254 | kaffir lime leaves:240 | chopped fresh cilantro:238 | creamy peanut butter:232 | chicken breasts:226 | thai red curry paste:224 | kosher salt:214 | red pepper flakes:212 | corn starch:200 | zucchini:192 | red pepper:189 | peanut oil:187 | canola oil:186 | shrimp:183 | palm sugar:182 | jalapeno chilies:178 | chicken stock:170 | light coconut milk:165 | minced garlic:160 | chicken broth:159 | sea salt:157 | roasted peanuts:153 | spring onions:152 | fresh basil:152 | curry powder:152 | shredded carrots:140 | black pepper:139 | chicken:136 | red cabbage:132 | ground black pepper:130 | large eggs:129 | low sodium soy sauce:129 | fresh mint:129 | oyster sauce:126 | ground ginger:125 | galangal:125 | crushed red pepper flakes:122 | ground coriander:120 | unsweetened coconut milk:118 | jasmine rice:118 | curry paste:117 | mango:117 | coriander:114 | yellow onion:113 | sweet potatoes:113 | fresh basil leaves:113 | sesame seeds:111 | chili sauce:111 | cashew nuts:110 | broccoli:107 | bird chile:106 | garlic powder:104 | fresh coriander:103
japanese,3581,2506,panko breadcrumbs:1612 | salt:1399 | soy sauce:979 | eggs:795 | mirin:716 | sugar:631 | water:607 | garlic:601 | pepper:590 | olive oil:535 | sake:485 | vegetable oil:422 | rice vinegar:412 | scallions:384 | green onions:376 | all-purpose flour:371 | butter:365 | kosher salt:364 | large eggs:360 | sesame oil:357 | onions:352 | flour:347 | ginger:330 | garlic cloves:295 | oil:284 | milk:284 | garlic powder:280 | carrots:275 | black pepper:270 | ground black pepper:268 | sesame seeds:265 | grated parmesan cheese:250 | fresh ginger:234 | mayonnaise:220 | honey:209 | corn starch:190 | unsalted butter:172 | boneless skinless chicken breasts:160 | canola oil:159 | dashi:156 | brown sugar:155 | parmesan cheese:151 | sea salt:149 | lemon juice:145 | avocado:142 | extra-virgin olive oil:135 | dijon mustard:132 | paprika:131 | lemon:130 | worcestershire sauce:128 | nori:121 | ketchup:116 | toasted sesame oil:115 | cayenne pepper:114 | white miso:114 | shiitake:114 | cucumber:112 | onion powder:112 | sriracha:109 | low sodium soy sauce:104 | toasted sesame seeds:102 | soba noodles:100 | spring onions:99 | minced garlic:97 | chicken breasts:97 | fresh parsley:96 | shallots:95 | cream cheese:94 | zucchini:94 | salmon fillets:90 | yellow onion:89 | panko:84 | ground beef:82 | freshly ground black pepper:81 | jalapeno chilies:80 | miso paste:79 | egg whites:77 | sushi rice:76 | cheddar cheese:75 | gari:75 | red bell pepper:74 | cooking spray:73 | japanese eggplants:72 | chives:70 | flat leaf parsley:70 | chicken stock:70 | freshly ground pepper:69 | mushrooms:69 | black sesame seeds:69 | sauce:69 | konbu:69 | red pepper flakes:68 | granulated sugar:66 | bacon:66 | chicken:65 | shrimp:65 | miso:64 | lime:63 | purple onion:63 | mozzarella cheese:62
greek,3523,2623,salt:1573 | olive oil:935 | greek yogurt:929 | garlic:720 | pepper:649 | cucumber:596 | plain greek yogurt:569 | lemon juice:553 | purple onion:551 | feta cheese:524 | dried oregano:494 | lemon:482 | feta cheese crumbles:451 | extra-virgin olive oil:429 | eggs:422 | honey:410 | baking powder:338 | sugar:325 | vanilla extract:318 | kosher salt:318 | ground black pepper:300 | garlic cloves:287 | fresh lemon juice:277 | bananas:275 | red wine vinegar:275 | tomatoes:274 | milk:258 | fresh dill:256 | kalamata:253 | onions:252 | black pepper:251 | all-purpose flour:251 | large eggs:247 | butter:246 | baking soda:233 | water:227 | garlic powder:223 | sea salt:211 | cherry tomatoes:208 | cinnamon:203 | oregano:174 | fresh parsley:169 | unsalted butter:168 | strawberries:167 | english cucumber:155 | green onions:149 | vanilla:146 | avocado:136 | dijon mustard:134 | grape tomatoes:133 | fresh oregano:131 | lemon zest:125 | nonfat plain greek yogurt:125 | ground cinnamon:124 | minced garlic:121 | granulated sugar:119 | pitted kalamata olives:119 | flour:118 | brown sugar:117 | black olives:113 | red bell pepper:111 | onion powder:105 | freshly ground black pepper:100 | mayonnaise:100 | boneless skinless chicken breasts:99 | nonfat greek yogurt:99 | dill:99 | romaine lettuce:98 | cream cheese:96 | powdered sugar:96 | fresh mint:93 | zucchini:88 | chickpeas:87 | parsley:86 | chicken breasts:86 | paprika:84 | spinach:80 | greek seasoning:79 | flat leaf parsley:77 | ground cumin:76 | maple syrup:74 | freshly ground pepper:73 | ground lamb:72 | cracked black pepper:71 | hummus:71 | scallions:69 | rolled oats:68 | carrots:68 | baby spinach:68 | diced tomatoes:67 | tzatziki sauce:65 | dried basil:64 | dried dill:64 | yellow onion:64 | lime:63 | vegetable oil:63 | ground pepper:62 | coconut oil:62 | roma tomatoes:62 | fresh basil:62
spanish,3072,2918,salt:1342 | olive oil:1273 | garlic:1004 | extra-virgin olive oil:768 | onions:735 | garlic cloves:719 | kosher salt:640 | pepper:567 | spanish onion:469 | ground black pepper:459 | water:437 | tomatoes:385 | red bell pepper:373 | smoked paprika:369 | ground cumin:285 | eggs:265 | spanish paprika:263 | flat leaf parsley:258 | paprika:252 | lemon:247 | sherry vinegar:241 | chicken stock:231 | yellow onion:230 | spanish chorizo:228 | sea salt:228 | butter:226 | purple onion:222 | saffron threads:206 | black pepper:205 | freshly ground pepper:200 | diced tomatoes:199 | sugar:197 | dry white wine:194 | carrots:189 | chili powder:187 | fresh parsley:172 | large eggs:171 | unsalted butter:158 | dried oregano:157 | saffron:154 | chicken broth:152 | chorizo:151 | bay leaves:150 | freshly ground black pepper:150 | tomato paste:148 | vegetable oil:143 | bay leaf:143 | all-purpose flour:141 | red wine vinegar:141 | green bell pepper:140 | frozen peas:135 | chopped parsley:134 | cayenne pepper:133 | garlic powder:133 | shallots:133 | jalapeno chilies:132 | potatoes:132 | chorizo sausage:131 | white wine:129 | mussels:125 | parsley:125 | sour cream:124 | canola oil:120 | cumin:119 | oregano:112 | red pepper:109 | cucumber:109 | tomato sauce:108 | lemon juice:105 | roasted red peppers:104 | fresh lemon juice:104 | scallions:103 | green onions:101 | sweet paprika:101 | plum tomatoes:101 | honey:99 | green olives:95 | shrimp:94 | minced garlic:92 | avocado:92 | lime:90 | red pepper flakes:90 | cilantro:90 | flour:89 | chickpeas:88 | chicken:86 | green pepper:86 | cracked black pepper:86 | capers:85 | mayonnaise:84 | large garlic cloves:83 | rice:82 | large shrimp:81 | pimenton:81 | manchego cheese:80 | arborio rice:80 | worcestershire sauce:80 | coarse salt:77 | brown sugar:77 | chopped fresh cilantro:77
