cuisine,record_count,unique_value_count,top_values
american,10836,48645,"cooking spray:1121 | 1/4 teaspoon salt:1053 | 1/2 teaspoon salt:1022 | 1 teaspoon salt:518 | 1 tablespoon olive oil:419 | 2 tablespoons olive oil:408 | 1/4 teaspoon freshly ground black pepper:407 | 1 teaspoon vanilla extract:336 | 1/8 teaspoon salt:327 | salt and pepper:309 | coarse salt and ground pepper:309 | 1/4 teaspoon black pepper:300 | 1 tablespoon fresh lemon juice:283 | 1 large egg:268 | 2 large eggs:262 | coarse salt and freshly ground pepper:259 | 2 garlic cloves, minced:254 | 2 tablespoons fresh lemon juice:234 | salt and pepper to taste:219 | 1/2 cup sugar:218 | 1/2 teaspoon freshly ground black pepper:214 | 1/4 teaspoon pepper:209 | 1 garlic clove, minced:206 | 1 cup sugar:205 | 3/4 teaspoon salt:193 | 1 cup all-purpose flour:178 | 1/2 teaspoon kosher salt:171 | 1/2 teaspoon black pepper:168 | 3 tablespoons olive oil:166 | 1 teaspoon dijon mustard:165 | 1 tablespoon dijon mustard:160 | salt:158 | 2 teaspoons olive oil:154 | 2 tablespoons extra-virgin olive oil:154 | 1 cup water:149 | 1 tablespoon sugar:145 | 1 bay leaf:144 | 1/4 cup all-purpose flour:143 | 1/2 teaspoon ground cinnamon:143 | 2 cups all-purpose flour:143 | 1/4 teaspoon kosher salt:141 | 1/4 cup olive oil:139 | 1 teaspoon sugar:139 | 1/2 teaspoon pepper:138 | 2 tablespoons all-purpose flour:137 | 2 tablespoons butter:137 | 1 teaspoon ground cinnamon:137 | 3 large eggs:133 | 1/2 cup all-purpose flour:133 | 1/2 cup water:133 | 3/4 cup sugar:132 | 4 large eggs:128 | 1/4 cup sugar:125 | 2 tablespoons sugar:125 | 1 teaspoon olive oil:125 | 1/4 cup extra-virgin olive oil:123 | 1 tablespoon butter:121 | 1 tablespoon lemon juice:121 | 2 teaspoons dijon mustard:117 | 1 tablespoon honey:116 | 1 large egg, lightly beaten:114 | 3 tablespoons all-purpose flour:114 | 1/4 cup water:114 | 3 garlic cloves, minced:113 | 1 tablespoon vegetable oil:113 | 2 bay leaves:113 | 1/2 teaspoon baking soda:113 | vegetable cooking spray:112 | 1/2 teaspoon vanilla extract:108 | 1/2 cup mayonnaise:107 | 1 teaspoon kosher salt:107 | 1 cup mayonnaise:106 | 1 tablespoon extra-virgin olive oil:106 | 1 teaspoon ground cumin:106 | freshly ground black pepper:105 | 2 teaspoons vanilla extract:102 | 1 cup chopped onion:101 | 1 teaspoon baking soda:100 | 3 tablespoons extra-virgin olive oil:99 | 2 tablespoons vegetable oil:98 | coarse salt:98 | 1/8 teaspoon black pepper:97 | 2 cloves garlic, minced:96 | 1/4 teaspoon ground nutmeg:96 | 2 tablespoons dijon mustard:96 | 2 teaspoons salt:95 | 1/8 teaspoon freshly ground black pepper:95 | 1/4 teaspoon ground red pepper:95 | 1 teaspoon baking powder:95 | 2 cups water:94 | 1/2 teaspoon ground cumin:94 | pinch of salt:93 | 1/8 teaspoon ground red pepper:92 | 1 tablespoon worcestershire sauce:92 | 1 tablespoon fresh lime juice:89 | 1 tablespoon all-purpose flour:89 | 1/2 teaspoon freshly ground pepper:89 | 1 1/2 teaspoons salt:87 | 2 tablespoons chopped fresh parsley:87 | 2 tablespoons unsalted butter:87"
italian,7590,30417,"salt:1744 | olive oil:1284 | garlic:884 | pepper:733 | italian seasoning:633 | onions:628 | grated parmesan cheese:622 | eggs:549 | extra-virgin olive oil:535 | butter:447 | garlic cloves:423 | water:418 | kosher salt:382 | sugar:374 | flat leaf parsley:357 | parmesan cheese:340 | black pepper:323 | ground black pepper:318 | garlic powder:303 | dried oregano:282 | all-purpose flour:281 | fresh basil:276 | mozzarella cheese:274 | shredded mozzarella cheese:262 | diced tomatoes:251 | 2 tablespoons olive oil:247 | 1 tablespoon olive oil:245 | milk:242 | tomatoes:225 | freshly ground black pepper:221 | sea salt:213 | dried basil:211 | tomato sauce:206 | italian sausage:198 | red pepper flakes:197 | carrots:196 | purple onion:191 | basil:191 | ground beef:189 | oregano:186 | large eggs:183 | marinara sauce:181 | fresh parsley:179 | 1/2 teaspoon salt:178 | unsalted butter:177 | tomato paste:177 | fresh basil leaves:174 | flour:173 | zucchini:170 | lemon:169 | chicken broth:163 | boneless skinless chicken breasts:158 | red bell pepper:157 | minced garlic:151 | balsamic vinegar:140 | pasta:137 | pasta sauce:137 | salt and pepper:134 | ricotta cheese:133 | 1 teaspoon salt:130 | 1 egg:130 | salt and pepper to taste:127 | lemon juice:126 | 1 teaspoon dried oregano:123 | 2 garlic cloves, minced:122 | active dry yeast:119 | cooking spray:119 | warm water:118 | yellow onion:118 | salz:118 | red wine vinegar:118 | provolone cheese:116 | cherry tomatoes:113 | italian salad dressing:112 | 2 cloves garlic, minced:111 | vegetable oil:110 | celery:109 | heavy cream:107 | freshly ground pepper:107 | crushed red pepper flakes:107 | cheese:106 | onion powder:106 | baking powder:105 | chicken breasts:104 | 1/4 teaspoon salt:101 | shredded parmesan cheese:98 | parsley:95 | cream cheese:93 | granulated sugar:93 | crushed tomatoes:92 | italian style breadcrumbs:92 | dried parsley:90 | honey:88 | 1/2 cup dry white wine:87 | vanilla extract:86 | spaghetti:85 | 3 tablespoons olive oil:84 | pfeffer:84 | 3 cloves garlic, minced:83 | green bell pepper:82"
mexican,6657,23981,salt:1784 | avocado:1139 | garlic:953 | lime:925 | chili powder:903 | sour cream:899 | jalapeno chilies:897 | olive oil:871 | cilantro:828 | black beans:824 | salsa:797 | ground cumin:775 | onions:769 | pepper:647 | cumin:628 | tomatoes:549 | kosher salt:512 | purple onion:507 | water:497 | fresh cilantro:454 | chopped cilantro:445 | corn tortillas:444 | green onions:433 | lime juice:417 | flour tortillas:413 | garlic cloves:379 | chopped fresh cilantro:374 | diced tomatoes:362 | shredded cheddar cheese:324 | garlic powder:324 | cilantro leaves:312 | taco seasoning:309 | red bell pepper:291 | corn:288 | vegetable oil:287 | lime wedges:260 | white onion:257 | black pepper:255 | ground beef:247 | tortilla chips:243 | butter:242 | fresh lime juice:235 | yellow onion:235 | ground black pepper:233 | guacamole:232 | eggs:221 | cayenne pepper:215 | mexican cheese blend:206 | chicken broth:204 | boneless skinless chicken breasts:199 | dried oregano:199 | shredded cheese:196 | sea salt:193 | cheddar cheese:187 | refried beans:186 | enchilada sauce:178 | extra-virgin olive oil:172 | frozen corn:166 | tortillas:163 | mayonnaise:162 | hot sauce:158 | canola oil:156 | tomato sauce:151 | paprika:149 | roma tomatoes:148 | chicken breasts:148 | scallions:147 | cheese:142 | chicken:142 | 1 teaspoon ground cumin:140 | oil:140 | queso fresco:136 | 1 tablespoon olive oil:136 | oregano:133 | onion powder:133 | corn kernels:132 | cotija:130 | bell pepper:130 | quinoa:129 | sugar:129 | milk:128 | minced garlic:127 | green bell pepper:124 | smoked paprika:121 | shredded lettuce:120 | cream cheese:119 | tomatillos:116 | romaine lettuce:116 | freshly ground black pepper:116 | monterey jack:114 | chicken stock:113 | cherry tomatoes:112 | 1/2 teaspoon salt:112 | shredded monterey jack cheese:111 | cooking spray:110 | all-purpose flour:110 | chopped onion:109 | chipotles in adobo:107 | 1 teaspoon salt:106 | diced green chilies:106
french,5067,12396,salt:1539 | butter:1115 | eggs:1114 | sugar:904 | milk:833 | unsalted butter:656 | vanilla extract:622 | shallots:533 | heavy cream:524 | large eggs:504 | cinnamon:491 | vanilla:477 | olive oil:459 | powdered sugar:458 | water:443 | all-purpose flour:442 | granulated sugar:412 | french bread:406 | kosher salt:337 | flour:331 | pepper:322 | garlic:311 | brown sugar:303 | maple syrup:263 | onions:257 | ground cinnamon:256 | bread:243 | egg whites:225 | whole milk:221 | egg yolks:196 | extra-virgin olive oil:170 | sea salt:167 | confectioners sugar:165 | honey:163 | baguette:163 | garlic cloves:158 | ground black pepper:155 | lemon:148 | black pepper:142 | nutmeg:141 | gruyere cheese:140 | lemon juice:138 | cream cheese:136 | dijon mustard:135 | strawberries:126 | vegetable oil:126 | vanilla beans:122 | large egg yolks:121 | white sugar:119 | baking powder:117 | freshly ground black pepper:114 | beef broth:108 | fresh thyme:101 | bananas:99 | yellow onion:99 | almond flour:98 | heavy whipping cream:96 | corn starch:96 | oil:95 | pure vanilla extract:92 | light brown sugar:91 | bay leaf:91 | freshly ground pepper:91 | large egg whites:90 | 1 bay leaf:90 | garlic powder:88 | worcestershire sauce:88 | half & half:87 | melted butter:85 | mayonnaise:85 | cream of tartar:84 | cream:80 | whipping cream:80 | ground nutmeg:79 | dry white wine:79 | apples:78 | carrots:74 | cooking spray:74 | fresh lemon juice:73 | dried thyme:72 | thyme:69 | whipped cream:67 | white wine:66 | grated parmesan cheese:65 | challa:65 | fresh parsley:64 | warm water:64 | canola oil:62 | caster sugar:61 | cheese:61 | bacon:60 | active dry yeast:59 | potatoes:58 | parsley:57 | purple onion:55 | bay leaves:55 | 1/4 teaspoon salt:55 | russet potatoes:54 | white bread:54 | fine sea salt:54
indian,4527,13880,salt:2461 | onions:1644 | garam masala:1522 | ground turmeric:1236 | ground cumin:1001 | garlic:986 | cumin seed:952 | oil:941 | ginger:902 | water:853 | chili powder:833 | green chilies:762 | tomatoes:733 | turmeric:681 | cilantro leaves:608 | ground coriander:571 | garlic cloves:540 | clove:479 | vegetable oil:473 | coriander powder:472 | fresh ginger:450 | olive oil:397 | sugar:395 | curry powder:389 | curry leaves:384 | lemon juice:380 | garlic paste:369 | ghee:367 | mustard seeds:355 | red chili powder:343 | cayenne pepper:340 | yoghurt:327 | coconut milk:307 | kosher salt:307 | cinnamon:302 | butter:295 | red chili peppers:293 | coriander:289 | cilantro:283 | pepper:282 | cumin:276 | cinnamon sticks:274 | potatoes:268 | paprika:253 | coriander seeds:250 | plain yogurt:248 | lemon:241 | black pepper:236 | basmati rice:234 | ground cardamom:224 | chopped cilantro:221 | carrots:218 | tomato paste:218 | chickpeas:217 | purple onion:215 | bay leaf:209 | chicken:196 | yellow onion:190 | fennel seeds:186 | ground black pepper:177 | cashew nuts:169 | chopped fresh cilantro:169 | ground ginger:169 | diced tomatoes:168 | coconut oil:166 | milk:166 | salt to taste:165 | cardamom:163 | frozen peas:161 | ground cinnamon:160 | canola oil:158 | cauliflower:155 | fresh cilantro:154 | fresh coriander:151 | bay leaves:148 | greek yogurt:148 | cardamom pods:143 | sea salt:143 | paneer:142 | black peppercorns:141 | ginger paste:141 | cayenne:139 | amchur:133 | asafoetida:130 | jalapeno chilies:130 | rice:129 | tomato purée:126 | mint leaves:122 | green cardamom:116 | minced garlic:116 | black mustard seeds:116 | boneless skinless chicken thighs:115 | boneless skinless chicken breasts:114 | cream:109 | heavy cream:109 | lime:106 | red lentils:105 | eggs:105 | kasuri methi:102 | masala:102
thai,4371,4683,fish sauce:1562 | garlic:1465 | salt:1061 | soy sauce:1022 | coconut milk:936 | lime:844 | water:756 | lime juice:749 | green onions:746 | sugar:669 | garlic cloves:639 | carrots:635 | ginger:590 | vegetable oil:580 | brown sugar:577 | peanuts:547 | red bell pepper:535 | cilantro:532 | fresh ginger:514 | rice vinegar:507 | onions:489 | sesame oil:478 | lemongrass:453 | olive oil:452 | shallots:449 | cilantro leaves:445 | fresh lime juice:444 | scallions:436 | sriracha:407 | red chili peppers:392 | pepper:370 | beansprouts:356 | eggs:355 | sweet chili sauce:346 | fresh cilantro:334 | honey:332 | thai basil:322 | oil:320 | rice noodles:303 | lime wedges:295 | red curry paste:294 | peanut butter:285 | chopped cilantro:282 | coconut oil:281 | cucumber:280 | kaffir lime leaves:277 | purple onion:268 | thai chile:266 | boneless skinless chicken breasts:253 | chicken breasts:245 | chopped fresh cilantro:242 | thai red curry paste:242 | creamy peanut butter:240 | kosher salt:232 | red pepper flakes:225 | corn starch:212 | peanut oil:210 | shrimp:210 | palm sugar:207 | canola oil:201 | red pepper:200 | zucchini:197 | jalapeno chilies:192 | chicken stock:190 | chicken broth:178 | minced garlic:174 | light coconut milk:168 | spring onions:168 | sea salt:162 | roasted peanuts:161 | fresh basil:160 | chicken:158 | curry powder:151 | red cabbage:146 | fresh mint:145 | ground black pepper:142 | large eggs:140 | oyster sauce:139 | low sodium soy sauce:136 | mango:136 | black pepper:134 | galangal:133 | unsweetened coconut milk:132 | shredded carrots:131 | crushed red pepper flakes:130 | jasmine rice:129 | ground ginger:129 | sesame seeds:121 | yellow onion:120 | curry paste:120 | thai fish sauce:120 | sweet potatoes:116 | fresh basil leaves:115 | chili sauce:114 | coriander:114 | ground coriander:113 | green beans:111 | fresh coriander:111 | garlic powder:108 | bird chile:108
chinese,4344,5390,soy sauce:2056 | sesame oil:1504 | salt:1475 | corn starch:1439 | garlic:1366 | sugar:1197 | water:983 | green onions:979 | scallions:896 | vegetable oil:868 | ginger:852 | rice vinegar:705 | fresh ginger:683 | garlic cloves:564 | oil:560 | eggs:516 | oyster sauce:511 | chinese five-spice powder:508 | shaoxing wine:458 | light soy sauce:450 | carrots:445 | hoisin sauce:445 | onions:431 | honey:412 | dark soy sauce:374 | brown sugar:368 | white pepper:367 | peanut oil:360 | pepper:343 | boneless skinless chicken breasts:322 | chicken stock:304 | sesame seeds:287 | minced garlic:280 | canola oil:279 | kosher salt:264 | toasted sesame oil:263 | low sodium soy sauce:239 | chicken broth:238 | ground pork:237 | olive oil:231 | spring onions:229 | red bell pepper:228 | all-purpose flour:217 | red chili peppers:216 | chicken breasts:215 | black pepper:214 | cooking oil:207 | ground black pepper:206 | rice wine:195 | chinese rice wine:194 | sriracha:194 | large eggs:187 | chili oil:187 | minced ginger:173 | ground white pepper:171 | szechwan peppercorns:168 | water chestnuts:160 | ground ginger:160 | star anise:155 | shiitake:152 | shrimp:149 | red pepper flakes:149 | ketchup:144 | napa cabbage:141 | chicken:140 | beansprouts:140 | flour:140 | dry sherry:139 | peanuts:131 | reduced sodium soy sauce:129 | snow peas:129 | toasted sesame seeds:128 | cold water:127 | white sugar:127 | garlic powder:126 | mushrooms:125 | cabbage:125 | sauce:120 | fish sauce:116 | peeled fresh ginger:115 | broccoli florets:115 | broccoli:114 | egg whites:113 | rice:112 | baking powder:108 | wonton wrappers:106 | shallots:104 | boneless skinless chicken thighs:104 | white vinegar:101 | noodles:100 | bamboo shoots:98 | red pepper:97 | pork:94 | crushed red pepper flakes:94 | chili sauce:93 | orange juice:93 | cilantro:92 | dried shiitake mushrooms:91 | cooked rice:90 | celery:90
greek,4052,2764,salt:1638 | greek yogurt:1113 | olive oil:952 | garlic:735 | pepper:647 | plain greek yogurt:638 | cucumber:615 | purple onion:596 | lemon juice:561 | feta cheese:556 | dried oregano:517 | lemon:509 | feta cheese crumbles:479 | honey:472 | extra-virgin olive oil:461 | eggs:445 | baking powder:356 | sugar:353 | vanilla extract:349 | kosher salt:346 | garlic cloves:326 | bananas:323 | ground black pepper:314 | milk:301 | tomatoes:292 | red wine vinegar:292 | fresh lemon juice:278 | water:273 | kalamata:270 | butter:270 | all-purpose flour:267 | onions:260 | black pepper:258 | fresh dill:258 | large eggs:255 | baking soda:252 | garlic powder:228 | cinnamon:221 | sea salt:220 | cherry tomatoes:213 | strawberries:207 | oregano:192 | unsalted butter:175 | fresh parsley:167 | english cucumber:162 | vanilla:154 | grape tomatoes:150 | nonfat plain greek yogurt:149 | avocado:147 | green onions:147 | fresh oregano:139 | ground cinnamon:137 | flour:137 | dijon mustard:133 | lemon zest:130 | granulated sugar:128 | pitted kalamata olives:128 | brown sugar:127 | nonfat greek yogurt:125 | minced garlic:118 | black olives:114 | red bell pepper:112 | powdered sugar:109 | freshly ground black pepper:109 | romaine lettuce:106 | chia seeds:106 | onion powder:106 | dill:106 | cream cheese:103 | boneless skinless chicken breasts:102 | mayonnaise:99 | spinach:94 | fresh mint:94 | maple syrup:93 | blueberries:91 | ice:90 | chickpeas:89 | greek seasoning:88 | parsley:88 | hummus:86 | zucchini:85 | paprika:84 | freshly ground pepper:84 | flat leaf parsley:83 | almond milk:81 | chicken breasts:81 | rolled oats:79 | ground pepper:78 | cracked black pepper:75 | ground lamb:74 | ground cumin:74 | chicken:70 | carrots:70 | vegetable oil:69 | fat free greek yogurt:69 | dried dill:68 | sour cream:68 | lime:67 | baby spinach:67 | scallions:67
japanese,3946,2624,panko breadcrumbs:1729 | salt:1522 | soy sauce:1075 | eggs:874 | mirin:752 | sugar:667 | water:646 | pepper:631 | garlic:626 | olive oil:544 | sake:520 | vegetable oil:455 | rice vinegar:447 | scallions:402 | all-purpose flour:399 | kosher salt:396 | green onions:394 | butter:390 | sesame oil:378 | onions:375 | flour:373 | large eggs:372 | ginger:354 | garlic cloves:319 | oil:310 | carrots:299 | garlic powder:296 | black pepper:292 | milk:289 | ground black pepper:289 | sesame seeds:271 | grated parmesan cheese:262 | mayonnaise:252 | fresh ginger:241 | honey:237 | corn starch:195 | boneless skinless chicken breasts:181 | unsalted butter:178 | brown sugar:174 | parmesan cheese:170 | dashi:169 | canola oil:166 | extra-virgin olive oil:156 | sea salt:155 | lemon juice:154 | avocado:150 | lemon:146 | dijon mustard:143 | nori:141 | worcestershire sauce:138 | paprika:138 | ketchup:132 | cayenne pepper:126 | onion powder:123 | sriracha:119 | white miso:118 | toasted sesame seeds:117 | toasted sesame oil:114 | cucumber:114 | zucchini:111 | shiitake:110 | chicken breasts:108 | soba noodles:108 | salmon fillets:108 | spring onions:105 | fresh parsley:102 | panko:102 | cream cheese:101 | minced garlic:101 | shallots:100 | yellow onion:98 | low sodium soy sauce:97 | sushi rice:92 | ground beef:88 | freshly ground black pepper:87 | miso paste:86 | egg whites:85 | red pepper flakes:83 | sauce:82 | cooking spray:82 | freshly ground pepper:80 | jalapeno chilies:80 | chives:80 | flat leaf parsley:78 | black sesame seeds:78 | japanese eggplants:77 | red bell pepper:77 | granulated sugar:76 | cheddar cheese:75 | mushrooms:74 | hot sauce:73 | mozzarella cheese:72 | gari:72 | seaweed:71 | konbu:70 | lime:68 | chicken:68 | chili powder:68 | miso:68 | bacon:68
spanish,3334,3134,salt:1402 | olive oil:1362 | garlic:1073 | extra-virgin olive oil:789 | onions:772 | garlic cloves:738 | kosher salt:668 | pepper:584 | ground black pepper:501 | spanish onion:498 | water:443 | red bell pepper:395 | tomatoes:392 | smoked paprika:386 | ground cumin:307 | spanish paprika:287 | eggs:281 | paprika:269 | lemon:263 | flat leaf parsley:261 | sea salt:259 | spanish chorizo:254 | purple onion:253 | yellow onion:247 | sherry vinegar:247 | chicken stock:237 | butter:228 | saffron threads:224 | diced tomatoes:214 | black pepper:214 | dry white wine:207 | sugar:203 | freshly ground pepper:198 | chili powder:197 | carrots:194 | fresh parsley:188 | large eggs:176 | dried oregano:172 | unsalted butter:169 | vegetable oil:163 | bay leaves:159 | chicken broth:158 | saffron:156 | tomato paste:155 | freshly ground black pepper:155 | green bell pepper:154 | red wine vinegar:152 | cayenne pepper:149 | bay leaf:148 | chorizo:148 | jalapeno chilies:147 | chorizo sausage:146 | frozen peas:145 | garlic powder:141 | potatoes:140 | white wine:137 | shallots:137 | parsley:137 | chopped parsley:137 | cumin:136 | all-purpose flour:135 | canola oil:128 | cucumber:126 | mussels:123 | tomato sauce:120 | lemon juice:117 | red pepper:117 | sour cream:116 | fresh lemon juice:114 | plum tomatoes:106 | scallions:106 | sweet paprika:105 | minced garlic:104 | oregano:103 | roasted red peppers:103 | red pepper flakes:103 | honey:99 | rice:99 | avocado:98 | lime:98 | green onions:97 | green olives:96 | chickpeas:96 | shrimp:95 | chicken:94 | cilantro:94 | cracked black pepper:93 | large garlic cloves:89 | green pepper:89 | chopped fresh cilantro:88 | manchego cheese:88 | dried thyme:88 | brown sugar:87 | capers:86 | orange:86 | celery:86 | chicken thighs:84 | flour:84 | spanish smoked paprika:83 | worcestershire sauce:82
