value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
salt,28965,28965,0.52929245,1.0,salt | salt | salt | salt | salt
garlic,21261,21261,0.38851327,1.0,garlic | garlic | garlic | garlic | garlic
pepper,16889,16889,0.30862145,1.0,pepper | pepper | pepper | pepper | pepper
olive oil,14935,14935,0.27291499,1.0,olive oil | olive oil | olive oil | olive oil | olive oil
onion,14211,14211,0.25968496,1.0,onion | onion | onion | onion | onion
cheese,13756,13756,0.25137051,1.0,cheese | cheese | cheese | cheese | cheese
sugar,12679,12679,0.23168993,1.0,sugar | sugar | sugar | sugar | sugar
cilantro,9872,9872,0.18039617,1.0,cilantro | cilantro | cilantro | cilantro | cilantro
egg,9439,9439,0.17248374,1.0,egg | egg | egg | egg | egg
butter,8477,8477,0.15490461,1.0,butter | butter | butter | butter | butter
water,8447,8447,0.15435641,1.0,water | water | water | water | water
green onion,7208,7208,0.13171552,1.0,green onion | green onion | green onion | green onion | green onion
ginger,7124,7124,0.13018054,1.0,ginger | ginger | ginger | ginger | ginger
chili,7108,7108,0.12988817,1.0,chili | chili | chili | chili | chili
flour,6491,6491,0.11861341,1.0,flour | flour | flour | flour | flour
tomato,6090,6090,0.11128572,1.0,tomato | tomato | tomato | tomato | tomato
soy sauce,5988,5988,0.10942183,1.0,soy sauce | soy sauce | soy sauce | soy sauce | soy sauce
chicken,5754,5754,0.10514582,1.0,chicken | chicken | chicken | chicken | chicken
cumin,5115,5115,0.09346904,1.0,cumin | cumin | cumin | cumin | cumin
vegetable oil,4465,4465,0.08159126,1.0,vegetable oil | vegetable oil | vegetable oil | vegetable oil | vegetable oil
parsley,4304,4304,0.07864922,1.0,parsley | parsley | parsley | parsley | parsley
lemon juice,4268,4268,0.07799137,1.0,lemon juice | lemon juice | lemon juice | lemon juice | lemon juice
milk,4205,4205,0.07684014,1.0,milk | milk | milk | milk | milk
carrot,3960,3960,0.07236313,1.0,carrot | carrot | carrot | carrot | carrot
yogurt,3836,3836,0.07009722,1.0,yogurt | yogurt | yogurt | yogurt | yogurt
chicken broth,3605,3605,0.06587603,1.0,chicken broth | chicken broth | chicken broth | chicken broth | chicken broth
basil,3488,3488,0.06373803,1.0,basil | basil | basil | basil | basil
oregano,3409,3409,0.06229442,1.0,oregano | oregano | oregano | oregano | oregano
lime juice,3269,3269,0.05973613,1.0,lime juice | lime juice | lime juice | lime juice | lime juice
red onion,3242,3242,0.05924275,1.0,red onion | red onion | red onion | red onion | red onion
red bell pepper,3220,3220,0.05884073,1.0,red bell pepper | red bell pepper | red bell pepper | red bell pepper | red bell pepper
oil,3189,3189,0.05827425,1.0,oil | oil | oil | oil | oil
