label,reproduction_matching_recipe_occurrences,reproduction_historical_only_recipe_occurrences,reproduction_current_only_recipe_occurrences,reproduction_distinct_raw_variants_after_historical_processing,reproduction_raw_line_occurrences_after_historical_processing,support_train,support_val,support_test,cuisine_dataset_prevalence,cuisine_normalized_mutual_information_with_cuisine,cuisine_test_prevalence,cuisine_test_average_precision_from_train_cuisine_prior,cuisine_average_precision_gain_over_test_prevalence
allspice,351,1,0,52,353,300,22,29,0.005387897952291776,0.055699000060413166,0.005564082885648503,0.012109918013698602,0.006545835128050099
almond,0,0,1726,0,0,1445,144,137,0.026494335799588615,0.03774455431338949,0.026285495011511895,0.05030617017201753,0.024020675160505635
ancho chiles,74,0,0,57,80,61,8,5,0.0011359101095999755,0.24758206444789668,0.0009593246354566385,0.008223684210526315,0.0072643595750696765
anchovy fillets,136,0,1,56,136,115,11,11,0.0021029687164215763,0.0869735396659566,0.002110514198004605,0.00637173246269359,0.004261218264688985
apple,2624,0,0,1291,3122,2199,192,233,0.04027875848095048,0.05074326603367233,0.04470452801227936,0.07980113658851169,0.035096608576232334
apricots,112,0,1,77,112,92,11,10,0.001734565437632395,0.10487817587192988,0.001918649270913277,0.003684194538673414,0.001765545267760137
artichoke,545,0,0,220,546,461,36,48,0.008365824455837657,0.09215304248051949,0.00920951650038373,0.02099172024720486,0.011782203746821129
arugula,328,318,0,328,655,281,24,23,0.00503484481011881,0.050459277604423716,0.004412893323100537,0.00757441352169457,0.003161520198594033
asparagus,481,0,0,200,487,404,36,41,0.0073834157123998405,0.0357903873241152,0.007866462010744436,0.010125775820048788,0.0022593138093043516
avocado,3249,0,0,779,3334,2744,274,231,0.04987259386608541,0.2575697329510852,0.0443207981580967,0.22213248701790633,0.17781168885980964
baby arugula,0,0,161,0,0,136,8,17,0.0024713719952107575,0.061875227986104404,0.003261703760552571,0.007090726369821983,0.0038290226092694123
bacon,1525,0,0,687,1564,1291,127,107,0.023408958339729224,0.06023594814361467,0.020529547198772063,0.03158687824103059,0.011057331042258527
baguette,434,1,0,86,435,365,36,33,0.006661959291437694,0.15827353964105276,0.006331542594013815,0.03825092842100557,0.031919385826991754
baking powder,1651,0,0,74,1656,1384,120,147,0.025343075553372424,0.055897010207086525,0.028204144282425174,0.05850786663092749,0.030303722348502315
banana,817,0,0,168,857,675,70,72,0.012541061615448377,0.19734255283510077,0.013814274750575594,0.07401769902092518,0.06020342427034959
basil,5537,0,0,1698,5921,4621,465,451,0.08499370644398735,0.2045863495424488,0.0865310821181888,0.243073076338928,0.1565419942207392
bay leaf,1255,2,1,55,1262,1067,92,97,0.01927977158996715,0.08800609018463514,0.018610897927858788,0.04295648775454341,0.02434558982668462
bay leaves,1203,3,2,89,1208,1007,100,98,0.01849691462254014,0.05452022222327205,0.018802762854950115,0.033036215903306666,0.014233453048356551
beans,5788,0,0,1962,6280,4873,473,442,0.08884659073465753,0.11717525185766883,0.08480429777436685,0.20258514358516697,0.11778084581080012
beef,4357,0,0,1448,4939,3657,326,374,0.0668805452368526,0.033525325213353954,0.07175748273215656,0.10961460544673925,0.03785712271458269
beer,389,0,0,199,442,325,34,30,0.005971203143707979,0.059577821370614376,0.005755947812739831,0.012374131932929062,0.006618184120189231
beet,262,0,0,170,280,224,19,19,0.0040217357934485614,0.05401349415297238,0.0036454336147352263,0.009191119794182927,0.005545686179447701
black olives,675,3,3,117,681,551,63,64,0.01040739262579437,0.1366815203751229,0.012279355333844973,0.036059380187928404,0.023780024854083433
blackberries,177,2,0,74,184,150,10,17,0.0027169741810702114,0.10708220416778114,0.003261703760552571,0.01802150591205934,0.014759802151506771
blueberries,530,0,0,102,553,438,49,43,0.008135572406594418,0.17249146698404755,0.00825019186492709,0.050489667265763476,0.04223947540083638
bread,7291,0,0,1811,7607,6113,576,602,0.11191784606883001,0.16522679466066373,0.11550268610897928,0.3255151484709382,0.21001246236195892
broccoli,1159,0,0,224,1185,960,101,98,0.01779080833819421,0.08791084840312251,0.018802762854950115,0.05147853803557987,0.03267577518062975
brussels sprouts,172,1,1,67,174,144,22,7,0.002655573634605348,0.028708745202421795,0.001343054489639294,0.0037739116215274207,0.002430857131888127
bunch cilantro,0,0,122,0,0,104,8,10,0.001872716667178338,0.1660482784054171,0.001918649270913277,0.010194387177621472,0.008275737906708195
butter,13872,0,0,3242,15513,11686,1078,1108,0.21293709514014675,0.08393747153587307,0.21258633921719108,0.3472614651470505,0.1346751259298594
cabbage,1791,0,0,383,1909,1519,149,123,0.02749209467964265,0.12432706419941583,0.023599386032233306,0.06816369712007585,0.04456431108784254
capers,621,3,0,184,625,507,64,50,0.009532434838670063,0.08603243729160678,0.009593246354566385,0.02658533446342698,0.016992088108860597
cardamom,1439,0,0,333,1590,1219,97,123,0.022088846590734658,0.4223710278137229,0.023599386032233306,0.22308458545413862,0.19948519942190532
carrot,5121,0,0,1209,5192,4312,407,402,0.07860804961164154,0.05645450921148751,0.07712970069071373,0.1364875471325093,0.059357846441795564
cashew,0,0,851,0,0,718,65,68,0.013062966260399718,0.17533539409407214,0.013046815042210284,0.059114096004015286,0.046067280961805
cauliflower,822,0,0,178,844,696,54,72,0.012617812298529457,0.097084776248222,0.013814274750575594,0.05225751064761693,0.038443235897041336
cayenne,652,0,0,94,664,550,51,51,0.010008289073772757,0.0768855240012432,0.009785111281657714,0.031194350940224755,0.02140923965856704
celery,1223,1419,0,845,2710,1039,95,89,0.018773217081632026,0.029536058038966605,0.017075978511128166,0.02288276686742888,0.005806788356300715
celery ribs,0,0,359,0,0,298,27,34,0.005510699045221503,0.029593133033738412,0.006523407521105142,0.011903738980334477,0.0053803314592293355
celery stalks,0,0,297,0,0,245,32,20,0.004558990575016118,0.11447848769019897,0.003837298541826554,0.009191271939999895,0.005353973398173341
cheese,19468,0,0,9111,26659,16302,1589,1577,0.29883645964449085,0.20021919234256588,0.3025709900230238,0.5758490731587801,0.2732780831357563
cherries,163,2,1,62,169,131,21,12,0.002517422405059405,0.07222942588884833,0.0023023791250959325,0.005376298630873648,0.0030739195057777158
cherry,86,0,0,63,96,79,4,3,0.0013201117489945661,0.06513023334302648,0.0005755947812739831,0.0021690359276422097,0.0015934411463682267
chestnut,0,0,87,0,0,74,7,6,0.001335461885610782,0.04902165904053392,0.0011511895625479663,0.0027130440829703103,0.001561854520422344
chicken,15022,0,0,4174,18564,12642,1158,1222,0.23058975224879502,0.04980643823598802,0.23445894090560246,0.33489396560016493,0.10043502469456247
chickpeas,776,2,0,90,778,661,49,66,0.011911706014183527,0.12642744569332187,0.01266308518802763,0.0471697858143737,0.034506700626346073
chili,9126,0,0,1525,10838,7678,743,705,0.14008534675958617,0.22836794873493818,0.13526477359938605,0.37029100455483666,0.2350262309554506
chives,1057,1,1,224,1071,889,87,82,0.016240444539956406,0.05117628007372137,0.015732924021488872,0.02838992310722975,0.012656999085740878
chocolate,1744,0,0,1035,2239,1456,153,135,0.026770638258680503,0.10670384959909009,0.02590176515732924,0.062030941685115866,0.036129176527786626
cilantro,7512,2817,0,1431,10970,6299,591,622,0.11531022626101373,0.26419576155975627,0.11933998465080584,0.3907869117609305,0.27144692711012464
cilantro leaves,0,0,2197,0,0,1860,168,169,0.0337242501458263,0.19342163435406115,0.03242517267843438,0.1063623992745292,0.07393722659609482
cinnamon,4320,0,0,474,4519,3631,329,360,0.06631259018205261,0.12151965197897034,0.06907137375287797,0.17017624570792955,0.10110487195505158
clove,1631,0,0,232,1666,1368,125,138,0.025036072821048107,0.19812729736073767,0.026477359938603222,0.12808868354107567,0.10161132360247244
cocoa powder,473,1,4,91,487,399,36,42,0.007322015165934977,0.0619305495018238,0.008058326937835763,0.021327222283397358,0.013268895345561594
coconut,1086,0,0,318,1190,878,92,116,0.01667024836521045,0.11030447419869538,0.022256331542594012,0.06619918469735647,0.04394285315476246
coffee,302,0,0,146,339,253,26,23,0.004635741258097197,0.04521639121550595,0.004412893323100537,0.011840513984496344,0.007427620661395807
coriander,3900,0,0,750,4375,3238,321,341,0.05986553280324195,0.3585085132201425,0.06542594013814275,0.3902998067371427,0.32487386659899997
corn,8050,0,0,1999,8664,6762,648,640,0.12356859976053787,0.17498940841085614,0.12279355333844973,0.29479118131172927,0.17199762797327955
cranberries,391,2,0,171,411,333,34,24,0.00600190341694041,0.1456790611212812,0.004604758250191865,0.016073635590720836,0.011468877340528972
cream,7574,0,0,1803,8487,6324,625,625,0.11626193473121911,0.09813201822064928,0.11991557943207981,0.2305395463552684,0.1106239669231886
cucumber,2921,0,0,435,2975,2455,231,235,0.044837749055966596,0.14335125920287367,0.04508825786646201,0.1719282884069195,0.1268400305404575
cumin,7840,0,0,723,8364,6590,629,621,0.12034507107113253,0.338755717876401,0.1191481197237145,0.449499914579039,0.3303517948553245
curry,3151,0,0,484,3351,2629,252,270,0.04836828047769625,0.36079728240767306,0.05180353031465848,0.24616119722182142,0.19435766690716294
dill,1234,0,0,292,1295,1041,92,101,0.0189420685844104,0.18223990520143643,0.019378357636224097,0.10406738612684337,0.08468902849061927
egg,14970,1,0,1433,16415,12604,1142,1224,0.22979154514475178,0.07808891912955658,0.2348426707597851,0.37265866624549726,0.13781599548571216
enchilada sauce,364,7,0,119,375,313,26,25,0.005587449728302582,0.2970786738534016,0.004796623177283192,0.04111842105263158,0.03632179787534839
fennel,0,1162,0,492,1262,,,,,,,,
fennel bulb,0,0,281,0,0,238,20,23,0.004313388389156663,0.08210689547455657,0.004412893323100537,0.013416953029962642,0.009004059706862105
fennel seeds,0,0,612,0,0,514,56,42,0.00939428360912412,0.13568254165494492,0.008058326937835763,0.03483126110372263,0.026772934165886865
fish sauce,2194,4,0,73,2207,1848,167,179,0.03367819973597765,0.500694385579735,0.03434382194934766,0.3534518502261935,0.31910802827684587
flour,11591,0,0,2416,12857,9743,929,919,0.17792343351855833,0.03170782114631353,0.17632386799693017,0.2320813854711664,0.05575751747423624
garam masala,2207,5,0,137,2235,1833,186,188,0.033877751511988456,0.5898353635480202,0.03607060629316961,0.38822786421360805,0.35215725792043845
garam masala powder,108,0,0,70,111,90,4,14,0.0016578147545513156,0.3369953297627581,0.002686108979278588,0.029350104821802937,0.026663995842524348
garlic,29125,0,0,3231,31109,24494,2301,2330,0.4470727289472876,0.07239128210293883,0.44704528012279354,0.5625525012120696,0.11550722108927602
ghee,591,0,0,76,596,499,41,51,0.009071930740183587,0.36820619191889753,0.009785111281657714,0.09622523861311072,0.08644012733145301
grape,327,0,0,215,381,273,32,22,0.005019494673502594,0.0826825207041049,0.00422102839600921,0.009810794863767593,0.005589766467758384
green chiles,174,30,98,142,206,238,13,21,0.0041752371596107205,0.17547675262902668,0.004029163468917882,0.01737745372038042,0.013348290251462537
green chillies,0,93,0,82,95,,,,,,,,
